entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-02-26,2020-04-07,284.6697998046875,243.71849060058594,-0.14385547477181748,41
2020-09-24,2020-10-08,299.87890625,318.6781005859375,0.06268928538863339,14
2020-11-02,2020-11-09,306.0896911621094,328.6708984375,0.07377317148335871,7
2021-09-21,2021-10-19,407.6297607421875,423.6199035644531,0.039227123145159304,28
2022-01-18,2022-02-10,430.62664794921875,423.8629455566406,-0.015706650818729018,23
2022-02-24,2022-03-21,404.0338439941406,420.5145568847656,0.040790426682335124,25
2022-04-25,2022-05-31,405.4877624511719,390.7448425292969,-0.036358483010076825,36
2022-06-17,2022-07-06,347.69921875,364.2259826660156,0.0475317832908293,19
2022-09-01,2022-10-21,376.74224853515625,357.1719055175781,-0.05194623935507958,50
2022-12-21,2023-01-11,370.25836181640625,379.1642150878906,0.024053078039329545,21
2023-03-01,2023-03-30,378.4164123535156,388.48297119140625,0.026601802959028253,29
2023-08-18,2023-08-31,421.6068115234375,434.9842834472656,0.031729733861485476,13
2023-09-22,2023-10-12,417.2007751464844,420.3412780761719,0.007527557753421732,20
2023-10-30,2023-11-08,402.82623291015625,423.82098388671875,0.052118628980265536,9
2024-04-18,2024-05-06,487.65203857421875,504.2969665527344,0.03413279687537352,18
2024-08-06,2024-08-19,511.388916015625,548.0767211914062,0.07174149463704893,13
2025-02-28,2025-04-03,585.6840209960938,530.6173095703125,-0.09402119479395621,34
2025-04-07,2025-04-28,498.66357421875,544.6068725585938,0.09213285412278727,21
2025-11-19,2025-11-28,658.87841796875,679.5208129882812,0.031329596563762774,9
2026-03-19,2026-03-27,658.0029907226562,634.0900268554688,-0.036341725196301855,8
