entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2021-05-13,2021-06-03,121.92698669433594,120.53180694580078,-0.011442747716162271,21
2021-09-21,2021-10-19,140.14715576171875,145.3551025390625,0.03716055990603495,28
2022-01-20,2022-02-09,160.97927856445312,172.7164306640625,0.0729109498084255,20
2022-02-24,2022-03-25,159.4501495361328,171.18795776367188,0.07361428171554762,29
2022-04-26,2022-06-03,153.63023376464844,142.65036010742188,-0.07146948480236659,38
2022-06-21,2022-07-06,133.31890869140625,140.23651123046875,0.0518876324968629,15
2022-09-02,2022-10-21,153.0968780517578,144.70559692382812,-0.054810269384414356,49
2022-12-21,2023-01-18,133.31222534179688,133.0760040283203,-0.0017719403668412514,28
2023-08-07,2023-08-30,176.53985595703125,185.4762725830078,0.050619825067443225,23
2023-09-22,2023-10-11,172.7652587890625,177.7172393798828,0.028663057755531796,19
2023-10-27,2023-11-08,166.27133178710938,180.77142333984375,0.08720740609271127,12
2024-01-04,2024-01-24,180.03964233398438,192.50022888183594,0.0692102382915003,20
2024-02-14,2024-03-28,182.4891815185547,169.9334716796875,-0.06880248864281624,43
2024-04-11,2024-04-12,173.4613494873047,174.95773315429688,0.008626611469442658,1
2024-07-31,2024-08-15,220.37562561035156,223.2534637451172,0.013058786001379108,15
2024-09-18,2024-09-24,219.24977111816406,225.88616943359375,0.03026866701654618,6
