entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2021-06-25,2021-09-29,129.8687744140625,139.56085205078125,0.07462977671458848,96
2021-11-02,2022-01-27,146.58631896972656,155.80279541015625,0.06287405608659213,86
2022-04-01,2022-04-28,170.78622436523438,160.33192443847656,-0.06121278203563307,27
2022-07-19,2022-09-16,148.1648406982422,148.07591247558594,-0.0006001978758062299,59
2022-11-29,2022-12-15,138.94190979003906,134.34564208984375,-0.03308049894478149,16
2023-02-02,2023-08-15,148.43963623046875,175.39443969726562,0.18158764162522334,194
2023-11-14,2024-01-16,185.51280212402344,181.74197387695312,-0.020326512261667817,63
2024-05-09,2024-08-20,182.90542602539062,225.03179931640625,0.23031778885098642,103
2024-08-27,2024-09-19,226.54185485839844,227.37637329101562,0.003683727376289081,23
2024-09-20,2024-09-24,226.7107391357422,225.88616943359375,-0.0036371003212809505,4
