entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2021-09-21,2021-10-19,407.6297302246094,423.61993408203125,0.03922727581379082,28
2022-01-18,2022-02-10,430.626708984375,423.8629455566406,-0.015706790328186115,23
2022-02-24,2022-03-21,404.03387451171875,420.5146179199219,0.04079049913356991,25
2022-04-25,2022-05-31,405.4877014160156,390.7447204589844,-0.036358639005688365,36
2022-06-17,2022-07-06,347.6991882324219,364.2260437011719,0.04753205077287248,19
2022-09-01,2022-10-21,376.7422790527344,357.1719665527344,-0.05194615414337567,50
2022-12-21,2023-01-11,370.2583312988281,379.1641540527344,0.02405299759944768,21
2023-03-01,2023-03-30,378.4164123535156,388.48297119140625,0.026601802959028253,29
2023-08-18,2023-08-31,421.6068420410156,434.98431396484375,0.03172973156476133,13
2023-09-22,2023-10-12,417.2007751464844,420.3411865234375,0.0075273383081575496,20
2023-10-30,2023-11-08,402.8262023925781,423.82098388671875,0.05211870868737578,9
2024-04-18,2024-05-06,487.6520080566406,504.2969970703125,0.034132924172719736,18
2024-08-06,2024-08-19,511.3888854980469,548.0767211914062,0.0717415585941581,13
