entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-04-28,2020-10-02,204.51852416992188,265.7164611816406,0.2992293106949724,157
2020-10-19,2021-03-12,274.9091796875,306.13128662109375,0.11357244224832774,144
2021-04-14,2021-05-27,326.9712219238281,323.444091796875,-0.010787280012596323,43
2021-06-17,2021-10-06,335.5509338378906,350.26800537109375,0.043859426540333146,111
2021-11-03,2022-01-10,382.9020080566406,370.6465148925781,-0.032006865741611934,68
2022-04-06,2022-04-29,344.8908386230469,305.8287048339844,-0.11325941258693739,23
2022-07-29,2022-09-15,308.5783996582031,284.7497863769531,-0.07722061332758146,48
2022-11-22,2022-12-30,280.21478271484375,261.5640563964844,-0.06655868094346395,38
2023-02-01,2023-08-24,295.5904541015625,355.85931396484375,0.2038931197777225,204
2023-11-20,2024-04-23,385.49847412109375,420.9825744628906,0.09204731723698223,155
2024-05-22,2024-08-07,451.3279724121094,431.273681640625,-0.044433963763213735,77
2024-09-17,2025-03-07,469.6823425292969,489.30841064453125,0.041785833398687355,171
2025-05-14,2025-12-10,516.832275390625,626.8024291992188,0.21277725684890259,210
2025-12-18,2026-02-11,608.3262329101562,613.1099853515625,0.007863794429053828,55
