entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-05-01,2020-10-02,259.9523010253906,309.46380615234375,0.19046380790496298,154
2020-10-21,2021-10-04,317.7047424316406,402.93896484375,0.26828124049942037,348
2021-10-29,2022-01-26,431.713623046875,408.8260498046875,-0.05301563819240973,89
2022-04-04,2022-05-03,432.2578430175781,394.0094909667969,-0.08848503889199721,29
2022-08-02,2022-09-19,387.804443359375,370.7798156738281,-0.0439000325475134,48
2022-11-14,2023-01-04,377.04931640625,367.89044189453125,-0.02429091928614069,51
2023-01-30,2023-03-15,384.0245361328125,373.1822204589844,-0.028233393061318335,44
2023-04-14,2023-08-29,396.9127197265625,433.83489990234375,0.09302342389333695,137
2023-11-21,2024-04-29,439.3489685058594,497.9416198730469,0.13336244208436354,160
2024-05-21,2024-08-12,518.7355346679688,522.2797241210938,0.006832362960045746,83
2024-09-04,2025-01-15,539.5953369140625,584.3038940429688,0.08285571440367479,133
2025-02-05,2025-03-10,595.5803833007812,552.564453125,-0.07222523001409409,33
2025-05-15,2026-03-03,583.7679443359375,678.4771118164062,0.1622376980431921,292
