Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2021-03-30,368.381579616897,369.34358094645273,367.07398064220894,368.6711120605469,76262200,368.6711120605469,-0.002652989618377344,,,,,,,,,368.6711120605469,368.6711120605469,,,0,0,0,-0.0,0.0,-0.0,10000.0,9973.470103816226,10000.0,0.0
2021-03-31,369.2407713856675,371.72516915261264,369.2127530406712,370.1654052734375,112734200,370.1654052734375,0.004053187689533999,,,,,,,,,368.9010033240685,368.78180044668693,,,0,0,0,0.0,0.0,0.0,10000.0,10013.89445006295,10000.0,0.0
2021-04-01,372.0988084552015,374.2189680327331,371.89333106228867,374.16290283203125,99682900,374.16290283203125,0.010799219758639733,,,,,,,,,369.71052632529353,369.1804006233791,,,0,0,0,0.0,0.0,0.0,10000.0,10122.036696869003,10000.0,0.0
2021-04-05,376.82471954638225,380.0749901846481,376.75001345829463,379.53326416015625,91684800,379.53326416015625,0.014353003163800615,,,,,,,,,371.22171676142625,369.9472794038811,,,0,0,0,0.0,0.0,0.0,10000.0,10267.318321603268,10000.0,0.0
2021-04-06,378.972983873967,380.35526059128404,378.6367351434698,379.3092041015625,62021000,379.3092041015625,-0.0005903568402352288,,,,,,,,,372.4659455829857,370.6407553074131,,,0,0,0,-0.0,0.0,-0.0,10000.0,10261.256940001238,10000.0,0.0
2021-04-07,379.1410856568923,380.0937381170486,378.6834430784203,379.7481689453125,55836300,379.7481689453125,0.0011572744320553774,,,,,,,,,373.58628763872827,371.3153785398501,,,0,0,0,0.0,0.0,0.0,10000.0,10273.132030298653,10000.0,0.0
2021-04-08,380.99967367195654,381.60675691392385,380.06569068342264,381.55072021484375,57863100,381.55072021484375,0.004746701674790188,,,,,,,,,374.81158495813065,372.073551997257,,,0,0,0,0.0,0.0,0.0,10000.0,10321.895523312212,10000.0,0.0
2021-04-09,381.429291282708,384.49275406318844,381.30786894490393,384.3246154785156,61104600,384.3246154785156,0.0072700564216205965,,,,,,,,,376.2751281151129,372.981038181054,,,0,0,0,0.0,0.0,0.0,10000.0,10396.936286144764,10000.0,0.0
2021-04-12,383.7269586097735,384.7356478067026,383.11987530124844,384.4648132324219,56704900,384.4648132324219,0.00036478994126287745,,,,,,,,,377.535079671622,373.831688184859,,,0,0,0,0.0,0.0,0.0,10000.0,10400.728983921901,10000.0,0.0
2021-04-13,384.36200222963515,386.2299681294225,383.979065799831,385.60418701171875,56551000,385.60418701171875,0.0029635320062646464,378.75343933105466,,,,,,,,378.7764808008676,374.7037251349968,,,0,0,0,0.0,0.0,0.0,10000.0,10431.551877154237,10000.0,0.0
