Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2021-03-30,116.98661215897457,117.26907177481125,115.76911765846987,116.78207397460938,85671900,116.78207397460938,-0.012274442962731391,,,,,,,,,116.78207397460938,116.78207397460938,,,0,0,0,-0.0,0.0,-0.0,10000.0,9877.255570372687,10000.0,0.0
2021-03-31,118.48657394561577,120.3079410804402,117.9995761138878,118.97357177734375,118323800,118.97357177734375,0.018765703743288897,,,,,,,,,117.11922748272235,116.9444071451823,,,0,0,0,0.0,0.0,0.0,10000.0,10062.60922220305,10000.0,0.0
2021-04-01,120.44430860719166,120.95078308800542,119.3047280211155,119.80146789550781,75089100,119.80146789550781,0.006958655656009505,,,,,,,,,117.53187985392012,117.15604127483603,,,0,0,0,0.0,0.0,0.0,10000.0,10132.631454781347,10000.0,0.0
2021-04-05,120.6488353850815,122.87928615898178,119.86963594729222,122.62604522705078,88651200,122.62604522705078,0.02357715127502935,,,,,,,,,118.31559760363253,117.56122675277787,,,0,0,0,0.0,0.0,0.0,10000.0,10371.530039404848,10000.0,0.0
2021-04-06,123.21045341308864,123.82406801579717,122.38255857200649,122.92799377441406,80171300,122.92799377441406,0.002462352486408692,,,,,,,,,119.02519701452199,117.95876505067685,,,0,0,0,0.0,0.0,0.0,10000.0,10397.06840218524,10000.0,0.0
2021-04-07,122.55785759372996,124.59350465582355,121.88579830959569,124.57402801513672,83466700,124.57402801513672,0.013390231062774038,,,,,,,,,119.87886332230887,118.44878452952571,,,0,0,0,0.0,0.0,0.0,10000.0,10536.287550465966,10000.0,0.0
2021-04-08,125.59674758502777,126.99930382725644,125.17793655097103,126.97008514404297,88844600,126.97008514404297,0.01923400220000193,,,,,,,,,120.96982052565258,119.07999198245291,,,0,0,0,0.0,0.0,0.0,10000.0,10738.942528391482,10000.0,0.0
2021-04-09,126.42462946477704,129.58036563750287,126.1032091394081,129.54141235351562,106686700,129.54141235351562,0.020251441168646744,,,,,,,,,122.28852696070844,119.85491200993903,,,0,0,0,0.0,0.0,0.0,10000.0,10956.421591218681,10000.0,0.0
2021-04-12,129.0739151583479,129.3953355248616,127.2330638679476,127.82720184326172,91420000,127.82720184326172,-0.013232915089545716,,,,,,,,,123.14063078879356,120.44545199759256,,,0,0,0,-0.0,0.0,-0.0,10000.0,10811.43619461682,10000.0,0.0
2021-04-13,128.99596262492872,131.15823376064404,128.49921542278324,130.9342041015625,91266500,130.9342041015625,0.024306268255097185,124.09580841064454,,,,,,,,124.33964206768108,121.22239659788663,,,0,0,0,0.0,0.0,0.0,10000.0,11074.221862986042,10000.0,0.0
2021-04-14,131.43096458655666,131.4894019428346,128.2362603060902,128.5966339111328,87222800,128.5966339111328,-0.017853014088026198,125.27726440429687,,,,,,,,124.9945638897506,121.76863639886783,,,0,0,0,-0.0,0.0,-0.0,10000.0,10876.513624052224,10000.0,0.0
2021-04-15,130.3400706375454,131.48937806764056,130.16474373855363,131.00238037109375,89347100,131.00238037109375,0.018707693870303244,126.48014526367187,,,,,,,,125.91884334841876,122.45261743384752,,,0,0,0,0.0,0.0,0.0,10000.0,11079.988111307175,10000.0,0.0
2021-04-16,130.80763872455088,131.1680124141945,129.81415884861858,130.67127990722656,84922400,130.67127990722656,-0.0025274385314928427,127.56712646484375,,,,,,,,126.64998743438919,123.06140724669042,,,0,0,0,-0.0,0.0,-0.0,10000.0,11051.984122426175,10000.0,0.0
2021-04-19,130.0381412567294,131.9471790846723,129.87256379574342,131.33355712890625,94264200,131.33355712890625,0.005068269187765484,128.4378776550293,,,,,,,,127.37053661816105,123.67415908981752,,,0,0,0,0.0,0.0,0.0,10000.0,11107.998553017542,10000.0,0.0
2021-04-20,131.50889480005515,132.0056272235911,128.38236227240412,129.6485595703125,94812300,129.6485595703125,-0.012829908786677335,129.10993423461915,126.14736633300781,,,,,,,127.7210016877228,124.11670727355789,75.73066259313893,,0,0,0,-0.0,0.0,-0.0,10000.0,10965.483944779784,10000.0,0.0
