entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-02-26,2020-04-08,70.71180725097656,64.2894058227539,-0.09082502170292017,42
2020-09-23,2020-10-02,103.99930572509766,109.72740173339844,0.05507821392040735,9
2020-11-02,2020-11-12,105.60125732421875,115.93675994873047,0.09787291256182185,10
2021-02-17,2021-03-18,127.43759155273438,117.39568328857422,-0.07879863501661333,29
2021-05-13,2021-06-03,121.9269790649414,120.53179168701172,-0.011442811005647702,21
2021-09-21,2021-10-19,140.1471405029297,145.3551025390625,0.03716067282888269,28
2022-01-20,2022-02-09,160.97926330566406,172.71640014648438,0.07291086193216123,20
2022-02-24,2022-03-25,159.4501190185547,171.18792724609375,0.07361429580477874,29
2022-04-26,2022-06-03,153.63023376464844,142.6503448486328,-0.07146958412389126,38
2022-06-21,2022-07-06,133.3188934326172,140.2365264892578,0.051887867342200744,15
2022-09-02,2022-10-21,153.09689331054688,144.70558166503906,-0.054810463256668385,49
2022-12-21,2023-01-18,133.3122100830078,133.0759735107422,-0.0017720550287069203,28
2023-08-07,2023-08-30,176.53985595703125,185.4762725830078,0.050619825067443225,23
2023-09-22,2023-10-11,172.76522827148438,177.7172393798828,0.028663239460528622,19
2023-10-27,2023-11-08,166.2713623046875,180.7714385986328,0.08720729831619667,12
2024-01-04,2024-01-24,180.03965759277344,192.5001983642578,0.06920997816863506,20
2024-02-14,2024-03-28,182.4891815185547,169.93344116210938,-0.0688026558723357,43
2024-04-11,2024-04-12,173.46133422851562,174.95774841308594,0.00862678816132556,1
2024-07-31,2024-08-15,220.3756103515625,223.2534637451172,0.013058856145485853,15
2024-09-18,2024-09-24,219.24977111816406,225.88616943359375,0.03026866701654618,6
2024-11-05,2024-11-21,221.9917449951172,227.2784423828125,0.02381483774458193,16
2025-01-14,2025-02-07,232.01258850097656,226.39329528808594,-0.024219777250866548,24
2025-03-11,2025-04-02,219.8816680908203,222.91842651367188,0.013810875864363803,22
2025-04-08,2025-04-28,171.6717987060547,209.22808837890625,0.21876796279834743,20
2025-12-23,2026-02-03,272.1053771972656,269.22808837890625,-0.010574171109722141,42
2026-03-16,2026-03-27,252.82000732421875,248.8000030517578,-0.0159006572106678,11
