Date,Open,High,Low,Close,Volume,Price,Return,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2020-01-03,71.62912236880935,72.4559349891833,71.47243889814949,71.69661712646484,146322800,71.69661712646484,-0.009722663051793923,,,71.69661712646484,71.69661712646484,,,0,0,0,-0.0,0.0,-0.0,10000.0,9902.77336948206,10000.0,0.0
2020-01-06,70.81920068576198,72.30649856939735,70.5685026643333,72.26792907714844,118387200,72.26792907714844,0.007968464532655206,,,71.78451127272386,71.73893653021918,,,0,0,0,0.0,0.0,0.0,10000.0,9981.6832678517,10000.0,0.0
2020-01-07,72.2775784441153,72.53309491165653,71.70869494472285,71.92805480957031,108872000,71.92805480957031,-0.004702975052949143,,,71.80659489377716,71.7529452916526,,,0,0,0,-0.0,0.0,-0.0,10000.0,9934.739660456555,10000.0,0.0
2020-01-08,71.63156665826679,73.38643848288913,71.63156665826679,73.08512115478516,132079200,73.08512115478516,0.016086440100155253,,,72.00329124162455,71.85162498521797,,,0,0,0,0.0,0.0,0.0,10000.0,10094.554254915125,10000.0,0.0
2020-01-09,74.0613974874318,74.83036001284603,73.81070672936173,74.63751983642578,170108400,74.63751983642578,0.021240967478904915,,,72.40855717928628,72.05798756678891,,,0,0,0,0.0,0.0,0.0,10000.0,10308.972353557818,10000.0,0.0
2020-01-10,74.87131787710281,75.37030104945943,74.30483992947904,74.80622863769531,140644800,74.80622863769531,0.0022603752327150506,,,72.77742971134921,72.26156097944865,,,0,0,0,0.0,0.0,0.0,10000.0,10332.274499340543,10000.0,0.0
2020-01-13,75.12201067519445,76.43093105955663,75.00388930942306,76.40441131591797,121532000,76.40441131591797,0.021364299568730427,,,73.33542688128287,72.56843878215008,,,0,0,0,0.0,0.0,0.0,10000.0,10553.016306970809,10000.0,0.0
2020-01-14,76.34175230410106,76.5514679630278,75.24977872842311,75.37271118164062,161954400,75.37271118164062,-0.013503148790865671,,,73.64885523518407,72.77616266359382,,,0,0,0,-0.0,0.0,-0.0,10000.0,10410.51735758535,10000.0,0.0
2020-01-15,75.17264532410701,76.0524904138791,74.6182170498927,75.0497055053711,121923600,75.0497055053711,-0.004285445902179608,,,73.86437066136669,72.94457324446623,,,0,0,0,-0.0,0.0,-0.0,10000.0,10365.903648635714,10000.0,0.0
2020-01-16,75.5920773695483,76.1007048279931,75.23049658770428,75.98981475830078,108829200,75.98981475830078,0.012526488233353561,,,74.19136206089502,73.17014668993545,,,0,0,0,0.0,0.0,0.0,10000.0,10495.752018718427,10000.0,0.0
2020-01-17,76.23811023432756,76.83351362979406,75.93197444596949,76.83110809326172,137816400,76.83110809326172,0.011071132856907528,,,74.59747683510528,73.44132901610777,,,0,0,0,0.0,0.0,0.0,10000.0,10611.951883750815,10000.0,0.0
2020-01-21,76.45987702591754,76.90100236781842,76.1730223343127,76.3104248046875,110843200,76.3104248046875,-0.00677698527974091,,,74.86100729196409,73.65385463007664,,,0,0,0,-0.0,0.0,-0.0,10000.0,10540.034842045316,10000.0,0.0
2020-01-22,76.79491535128935,77.13480208755844,76.4887796776353,76.58279418945312,101832400,76.58279418945312,0.0035692290465259013,,,75.12589758388548,73.87081311595638,,,0,0,0,0.0,0.0,0.0,10000.0,10577.654640554938,10000.0,0.0
2020-01-23,76.63584965719392,77.03117417903718,76.0886526637108,76.95162963867188,104472000,76.95162963867188,0.0048161659955408,,,75.40677943846799,74.09902174726864,,,0,0,0,0.0,0.0,0.0,10000.0,10628.598381147354,10000.0,0.0
2020-01-24,77.19747280109205,77.93991520434014,76.53939333547534,76.72982788085938,146537600,76.72982788085938,-0.0028823529645047863,,,75.61032535268205,74.29389627568277,75.40142078817165,,0,0,0,-0.0,0.0,-0.0,10000.0,10597.963009094923,10000.0,0.0
