Date,Open,High,Low,Close,Volume,Price,Return,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2020-01-03,205.82049974238066,207.9144055144495,205.80119693274173,206.6696319580078,27518900,206.6696319580078,-0.009160018417626259,,,206.6696319580078,206.6696319580078,,,0,0,0,-0.0,0.0,-0.0,10000.0,9908.399815823737,10000.0,0.0
2020-01-06,205.04852430887368,208.03016755218803,204.7976467090849,208.001220703125,21655300,208.001220703125,0.006443078900860266,,,206.8744917649489,206.76826816134982,,,0,0,0,0.0,0.0,0.0,10000.0,9972.240417618359,10000.0,0.0
2020-01-07,208.07846393495007,208.5609311593145,207.31617219889597,207.97232055664062,22139300,207.97232055664062,-0.00013894219652499373,,,207.04338850213227,206.85745722766765,,,0,0,0,-0.0,0.0,-0.0,10000.0,9970.85485263046,10000.0,0.0
2020-01-08,207.94337126985312,210.49079759576426,207.61529709481655,209.53550720214844,26397300,209.53550720214844,0.007516320639803897,,,207.42679137905782,207.0558312998514,,,0,0,0,0.0,0.0,0.0,10000.0,10045.798994755774,10000.0,0.0
2020-01-09,211.26272445987212,211.71624477264265,210.07585935721255,211.31097412109375,23547000,211.31097412109375,0.008473346320404085,,,208.02435795475566,207.37102706438787,,,0,0,0,0.0,0.0,0.0,10000.0,10130.920528703506,10000.0,0.0
2020-01-10,212.1408190754667,212.1601071610484,210.39427556417888,210.77059936523438,21898500,210.77059936523438,-0.002557248898723552,,,208.44685663329085,207.62284723482097,,,0,0,0,-0.0,0.0,-0.0,10000.0,10105.013243338422,10000.0,0.0
2020-01-13,211.63908136109868,213.23121736432708,211.30134840345303,213.2022705078125,22756900,213.2022705078125,0.01153705094496793,,,209.17845876783264,208.03613784763513,,,0,0,0,0.0,0.0,0.0,10000.0,10221.595295926394,10000.0,0.0
2020-01-14,213.0961225989704,213.45315836128472,212.03470352727763,212.36277770996094,24418100,212.36277770996094,-0.003937541546119694,,,209.66835398969852,208.3566296892889,,,0,0,0,-0.0,0.0,-0.0,10000.0,10181.347339781061,10000.0,0.0
2020-01-15,212.47857759490196,213.4435121114308,211.75487670750533,212.4496307373047,25742100,212.4496307373047,0.00040898423104240855,,,210.09624272009944,208.65981495210488,,,0,0,0,0.0,0.0,0.0,10000.0,10185.511350293797,10000.0,0.0
2020-01-16,213.5110477365037,214.5242318436061,213.0575273716458,214.48562622070312,18805000,214.48562622070312,0.009583426793129846,,,210.77153248942307,209.0913565275566,,,0,0,0,0.0,0.0,0.0,10000.0,10283.123452669932,10000.0,0.0
2020-01-17,215.45054352083037,215.7207239647326,214.33121612538972,215.5470428466797,24325200,215.5470428466797,0.0049486608714952585,,,211.50622639053947,209.5695555141583,,,0,0,0,0.0,0.0,0.0,10000.0,10334.011143336915,10000.0,0.0
2020-01-21,214.94876104330322,215.99089186227567,214.85227644678835,215.45053100585938,21146300,215.45053100585938,-0.00044775302665123196,,,212.11304248520406,210.0051833283584,,,0,0,0,-0.0,0.0,-0.0,10000.0,10329.384058570036,10000.0,0.0
2020-01-22,216.540924487209,217.25496649446433,215.74967124013912,216.0198516845703,20736400,216.0198516845703,0.0026424658878907437,,,212.71409005433733,210.45071431770742,,,0,0,0,0.0,0.0,0.0,10000.0,10356.679103587732,10000.0,0.0
