entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-02-28,2020-04-06,198.58348083496094,189.9943389892578,-0.04325204598886756,38
2020-09-24,2020-09-29,257.0760192871094,267.3051452636719,0.039790276840790506,5
2020-11-02,2020-11-09,261.52215576171875,279.5491943359375,0.06893120975434197,7
2021-02-26,2021-03-18,304.850341796875,302.8123779296875,-0.006685129021588576,20
2021-05-13,2021-06-01,310.2879638671875,323.38580322265625,0.04221188341380522,19
2021-09-21,2021-10-19,356.57855224609375,365.6549377441406,0.02545409823690914,28
2022-01-18,2022-02-16,361.324462890625,347.1758728027344,-0.039157575921377585,29
2022-02-24,2022-03-23,332.012939453125,343.49468994140625,0.034582237991065634,27
2022-04-25,2022-05-31,321.7718505859375,300.9764099121094,-0.0646279052563492,36
2022-06-21,2022-07-06,274.94830322265625,282.4999084472656,0.02746554583569849,15
2022-08-31,2022-10-31,292.7415466308594,272.3752136230469,-0.06957103712201806,61
2022-12-21,2023-01-12,268.6070251464844,274.10784912109375,0.02047907708895358,22
2023-08-18,2023-08-30,352.8152770996094,371.2672119140625,0.05229913785520024,12
2023-09-22,2023-10-12,353.1088562011719,364.9676818847656,0.03358405057061953,20
2023-10-27,2023-11-08,340.6779479980469,367.9372863769531,0.08001497760301923,12
2024-04-22,2024-05-07,414.79266357421875,436.0859680175781,0.051334814506788895,15
2024-07-26,2024-08-16,459.2469177246094,471.2099304199219,0.02604919539707451,21
2025-02-28,2025-04-03,505.60577392578125,449.0546569824219,-0.11184824196976162,34
2025-04-07,2025-04-28,422.1806945800781,470.7271423339844,0.11498973869990192,21
2025-11-19,2025-12-01,599.09814453125,616.3758544921875,0.02883953175060494,12
