ticker,strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days,short_window,long_window
AAPL,MA_15_50,train,0.5381428002099093,0.1315428956588287,0.17011064343716886,0.1538417857251751,0.8114637069739128,0.8972764627539913,-0.21563584573768424,0.6100233252445766,10,0.5,0.04342358992145099,0.23031778885098642,-0.06121278203563307,67.1,15,50
AAPL,MA_10_50,train,0.4786918865524372,0.11881326219031463,0.16776475007523958,0.1419455517142625,0.7528683053398975,0.8898113506168163,-0.22929451554127178,0.5181687922619714,13,0.5384615384615384,0.04247457603981006,0.24859140560644954,-0.08985253013407013,52.38461538461539,10,50
AAPL,MA_30_50,train,0.37756744174603285,0.09629545052240673,0.18184737061198206,0.1717090427979738,0.5963692098691352,0.6315810219514383,-0.29119660684074555,0.3306887795401764,10,0.5,0.0317372256370189,0.2232037332898411,-0.11902062110089096,66.7,30,50
AAPL,MA_20_50,train,0.31014783632512555,0.08061949437823923,0.17775788204769313,0.15885534273955232,0.5248123328065996,0.5872608824064603,-0.2980018841413309,0.2705335055532887,10,0.7,0.04232468858049494,0.22972013591515394,-0.1049321537920801,68.7,20,50
AAPL,MA_15_150,train,0.2959921252498956,0.07725538461346648,0.18002469933747753,0.15733125127436023,0.5030959168731272,0.5756624347635704,-0.21467728466028935,0.35986753202937755,5,0.6,0.0472439879443699,0.19154707470561605,-0.0757370867384044,138.4,15,150
AAPL,MA_10_150,train,0.193994631567582,0.05220632769314748,0.17802852815230416,0.15705009137283976,0.3745764785900645,0.4246116546697839,-0.27467805290603864,0.19006370236287543,7,0.42857142857142855,0.035854171846599066,0.19983754343366744,-0.07196995620977586,99.42857142857143,10,150
AAPL,MA_20_100,train,0.18847039917298525,0.050806759320466854,0.1793767334875975,0.1576159947835506,0.365743865709489,0.41623910069653386,-0.3564011241316912,0.14255499177857142,6,0.5,0.041830948949111435,0.25055709051239794,-0.12047164435007651,118.83333333333333,20,100
AAPL,MA_10_200,train,0.17795021278609235,0.04812858275589038,0.1711450969616884,0.15585061917870766,0.35996015549808164,0.3952850238241476,-0.24774229428399452,0.1942687375806697,4,0.5,0.05543754301800263,0.20238816028956164,-0.11733515933658023,166.5,10,200
AAPL,MA_10_100,train,0.16599542411000545,0.045064410884548156,0.17790305394767683,0.1542741728542287,0.33647115901754027,0.3880056243185624,-0.29645997562298654,0.15200841459238792,7,0.42857142857142855,0.012359759165890907,0.19983754343366744,-0.14313705308394975,103.71428571428571,10,100
AAPL,MA_20_150,train,0.12973394976686659,0.035630920097591945,0.1840334752527774,0.16515458272441594,0.28203966481300113,0.3142797421569316,-0.2660415273872262,0.13392991856391942,5,0.6,0.03774275772683433,0.21807129444053963,-0.12393950741494353,138.0,20,150
AAPL,MA_15_100,train,0.124978946001016,0.034377956539410226,0.18059791887542842,0.1561535193657275,0.2772000816809221,0.3205932089588294,-0.29274933253778823,0.11743137462140141,7,0.42857142857142855,0.01687827074166107,0.1988894561503307,-0.11934665240984499,103.71428571428571,15,100
AAPL,MA_15_200,train,0.11456562827367822,0.03162075601555614,0.17756752387008726,0.1685295257866811,0.2639742673301549,0.27813083076354606,-0.2670303748348207,0.11841632636405526,4,0.5,0.016958177574120797,0.19154707470561605,-0.18560169315132402,166.75,15,200
AAPL,MA_30_100,train,0.09361300832334862,0.026016847906082274,0.18038950449345692,0.16036019628911471,0.2323493787836719,0.2613702793964102,-0.3140779763670132,0.08283563275280564,5,0.6,0.029689462553529954,0.1899898474056223,-0.2012240441391866,138.6,30,100
AAPL,MA_30_150,train,-0.003067658118402483,-0.000881431359574858,0.18913680747923126,0.17552693363600308,0.08982272670308677,0.09678733295103085,-0.3794009373259538,-0.0023232187189289833,5,0.4,0.012166936268990547,0.17125380859660888,-0.1593456210916736,136.8,30,150
AAPL,MA_30_200,train,-0.024642112369964386,-0.007135699764799552,0.18186494564462383,0.17609773527911793,0.05150854264721517,0.05319545020793011,-0.31656917675059393,-0.022540728184732108,4,0.5,0.012596787646440594,0.19518336175015683,-0.21399346146093468,163.25,30,200
AAPL,MA_20_200,train,-0.07488904680699449,-0.022094050961698364,0.17844475005841576,0.169580901160512,-0.036079454204385276,-0.03796529646726964,-0.34910347016478394,-0.06328797290748649,4,0.5,0.00772672391431925,0.1924209534630703,-0.15960886385043926,166.25,20,200
