ticker,strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days,short_window,long_window
SPY,MA_30_200,train,0.2819146313804979,0.07388378002908169,0.0966998041392631,0.09218868091842328,0.7855695436087407,0.8240102824766045,-0.15764514676066832,0.4686714532433378,2,0.5,0.17472891474351226,0.41979422428490665,-0.07033639479788212,324.0,30,200
SPY,MA_15_200,train,0.28316376179423264,0.07418401493346138,0.09887756721327516,0.09226146342871704,0.7732547204457533,0.8287051034360605,-0.1568243346405932,0.47303892666578046,3,0.3333333333333333,0.10282733402279265,0.4464536807652806,-0.07063364926006444,223.0,15,200
SPY,MA_30_150,train,0.27465185477073106,0.0721339897260489,0.10549506225100146,0.09292706649682184,0.7130457395526064,0.8094821833688923,-0.12840214266714234,0.561781822543587,3,0.6666666666666666,0.09605953014848327,0.2774404100082888,-0.0629527334765535,249.33333333333334,30,150
SPY,MA_20_200,train,0.24773389845740756,0.06558608173986546,0.09949033279545197,0.09518727393716246,0.6883241755413074,0.7194407241977291,-0.18010553964504983,0.36415360609741293,4,0.25,0.08036616661080964,0.461474887302747,-0.07063364926006444,165.75,20,200
SPY,MA_20_100,train,0.2586374962891904,0.06825044897389643,0.11303446366874906,0.10131648759233712,0.6407344843966409,0.7148400079685007,-0.19489770586516508,0.35018600486305224,5,0.6,0.040268858435824215,0.27277916573323124,-0.11928464811188744,161.6,20,100
SPY,MA_30_100,train,0.2620484164901504,0.0690805498602387,0.11495257125862567,0.10293717900689525,0.6387240932985231,0.7132794735377518,-0.22052052116414433,0.31326132142059754,4,0.5,0.06437308981784956,0.27325483059888267,-0.1330112371412514,204.25,30,100
SPY,MA_10_50,train,0.24857856841025816,0.06579307435629511,0.11005756728216078,0.09495990858752634,0.6339392006663912,0.7347290795444734,-0.13126618038066884,0.5012187767290611,11,0.5454545454545454,0.015070545581304395,0.12162093515543715,-0.08731983944967914,72.18181818181819,10,50
SPY,MA_10_200,train,0.2163685868727505,0.05782802258451447,0.09787957477101826,0.09206296541452809,0.6233478793154897,0.6627314804285885,-0.16562277100233302,0.34915502400149967,4,0.5,0.06636095348883128,0.32521324649604444,-0.09069653973278413,167.0,10,200
SPY,MA_20_150,train,0.18005768877407746,0.04866645544133563,0.10400276366231093,0.0953652423769732,0.5089644355300879,0.5550628990351996,-0.18802979336239878,0.25882310761007143,6,0.5,0.03296202287626284,0.2774404100082888,-0.0650044736943024,121.83333333333333,20,150
SPY,MA_10_100,train,0.18505147455149684,0.049938247111613876,0.10729748586659515,0.09484337745157086,0.5078659528250161,0.5745550333568862,-0.2223966652041247,0.22454584499177863,8,0.375,0.027478283618832144,0.28606579341920346,-0.05288211138816057,98.75,10,100
SPY,MA_15_150,train,0.16034461792634924,0.04360823309365314,0.10662285404097513,0.09555590003216698,0.4536661862182248,0.5062082356001926,-0.1990892330546945,0.21903863119344544,6,0.3333333333333333,0.034784248024526655,0.28446811626826674,-0.07082950486941053,124.0,15,150
SPY,MA_10_150,train,0.099447001979456,0.027584821015571803,0.10695476115940113,0.09671728620110737,0.30792227364185465,0.34051568780108354,-0.26694334061751834,0.10333586502573922,7,0.42857142857142855,0.02476789473141621,0.29036477390809545,-0.07376075678643945,106.85714285714286,10,150
SPY,MA_15_100,train,0.09713970671507144,0.026965411662736027,0.11052289474159745,0.10151797273715998,0.296098739373585,0.32236350788482016,-0.271597995298706,0.09928428092070127,7,0.42857142857142855,0.02097785283171359,0.27252737824146833,-0.09727219503662843,114.28571428571429,15,100
SPY,MA_30_50,train,0.012919317076077519,0.0036910969721810627,0.11832132640405828,0.11486072142697994,0.09043978638033583,0.09316462017021115,-0.3240780857558869,0.011389529667122866,10,0.6,0.0030353627593517228,0.1446748135401119,-0.11071706227721068,77.3,30,50
SPY,MA_15_50,train,0.00021442996452547547,6.154011490711042e-05,0.11363291454237642,0.10559228468441434,0.057341914118387675,0.06170837998425088,-0.2486904906571692,0.0002474566467921211,10,0.6,0.012043459752440654,0.12920822647639274,-0.06734251841312944,77.5,15,50
SPY,MA_20_50,train,-0.018994732713528695,-0.005489113436712101,0.11259360562176633,0.1080141010805262,0.007536516598751981,0.007856044434875765,-0.2959648655687782,-0.018546503572859075,10,0.5,0.005384675110767368,0.133362511545271,-0.08848525069320767,77.7,20,50
