entry_date,exit_date,entry_price,exit_price,trade_return,holding_days
2020-05-01,2020-10-05,69.8468017578125,113.10604095458984,0.6193445957164203,157
2020-11-06,2021-03-01,115.4310531616211,124.46688079833984,0.07827900196030613,115
2021-04-20,2021-05-27,129.64854431152344,122.22943878173828,-0.057224749951363174,37
2021-06-29,2021-10-04,133.01036071777344,135.95533752441406,0.022140957973111552,97
2021-11-05,2022-02-01,148.033203125,170.86251831054688,0.15421753163220875,88
2022-04-06,2022-05-04,168.35635375976562,162.663818359375,-0.03381241796501211,28
2022-07-21,2022-09-20,152.43319702148438,154.1678924560547,0.011380037081593297,61
2022-11-22,2022-11-30,147.8096923828125,145.69363403320312,-0.014316100084485583,8
2022-12-02,2022-12-20,145.4770965576172,130.21192932128906,-0.10493175625265694,18
2023-02-06,2023-08-17,149.3352508544922,171.98440551757812,0.15166649892432038,192
2023-11-15,2024-01-18,186.07693481445312,186.69053649902344,0.0032975698206882953,64
2024-05-09,2024-08-21,182.90542602539062,224.92250061035156,0.2297202193396286,104
2024-08-28,2024-11-20,225.0119171142578,227.75582885742188,0.012194517420918372,84
2024-12-04,2025-01-28,241.68971252441406,236.96551513671875,-0.019546538983193584,55
2025-03-07,2025-03-18,238.03256225585938,211.76702880859375,-0.11034428734600188,11
2025-06-06,2025-06-18,203.30133056640625,195.9835968017578,-0.035994519781355705,12
2025-07-14,2026-01-08,207.987060546875,258.7978515625,0.24429784661615295,178
2026-02-24,2026-03-19,272.1400146484375,248.9600067138672,-0.08517677183384909,23
