Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20
2021-03-30,368.38151862967413,369.3435197999662,367.0739198714649,368.6710510253906,76262200,368.6710510253906,-0.002653072395044309,,,,,,,,,368.6710510253906,368.6710510253906,,
2021-03-31,369.2408018270159,371.7251997987825,369.21278347970974,370.1654357910156,112734200,370.1654357910156,0.004053436692326828,,,,,,,,,368.9009563739483,368.7817461932147,,
2021-04-01,372.0987781059756,374.2189375105821,371.893300729822,374.1628723144531,99682900,374.1628723144531,0.01079905398216141,,,,,,,,,369.7104819032567,369.18034812812124,,
2021-04-05,376.82484074553827,380.0751124291974,376.7501346334227,379.53338623046875,91684800,379.53338623046875,0.014353412145879929,,,,,,,,,371.221697953597,369.9472398394062,,
2021-04-06,378.9729228929124,380.3551993878055,378.6366742165215,379.30914306640625,62021000,379.30914306640625,-0.0005908390992679369,,,,,,,,,372.4659202786446,370.6407141525173,,
2021-04-07,379.1410247193097,380.0936770263506,378.68338221439245,379.74810791015625,55836300,379.74810791015625,0.0011572746182739735,,,,,,,,,373.5862568373387,371.31533591234245,,
2021-04-08,380.99967367195654,381.60675691392385,380.06569068342264,381.55072021484375,57863100,381.55072021484375,0.004746863163078485,,,,,,,,,374.8115588954164,372.07351252734253,,
2021-04-09,381.4293215703808,384.4927845941178,381.3078992229351,384.32464599609375,61104600,384.32464599609375,0.007270136404638583,,,,,,,,,376.2751107570591,372.9810038953982,,
2021-04-12,383.7269281507639,384.73561726762654,383.11984489042715,384.46478271484375,56704900,384.46478271484375,0.00036463110084139494,,,,,,,,,377.535060289026,373.8316541783201,,
2021-04-13,384.36197181036624,386.22993756231864,383.97903541086856,385.6041564941406,56551000,385.6041564941406,0.0029635322415004772,378.75343017578126,,,,,,,,378.77645970519745,374.7036913868994,,
2021-04-14,385.5761649966313,386.6315702804382,383.7455664130594,384.28729248046875,61659900,384.28729248046875,-0.003415066957899615,380.31505432128904,,,,,,,,379.6242801321623,375.41358776420077,,
