ticker,strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days,short_window,long_window
SPY,MA_30_200,train,0.28191447281154214,0.07388374190298119,0.09669976377245548,0.09218855065925004,0.7855694635958509,0.8240110188667036,-0.15764525033114019,0.4686709034860576,2,0.5,0.1747286978958671,0.419794114674805,-0.0703367188830708,324.0,30,200
SPY,MA_15_200,train,0.2831634994896368,0.07418395190908522,0.0988775409366175,0.09226139075158407,0.7732543060756781,0.8287050919195136,-0.156824506375854,0.4730380067723089,3,0.3333333333333333,0.10282734734723838,0.4464539082954182,-0.07063397326358933,223.0,15,200
SPY,MA_30_150,train,0.27465220368583165,0.07213407395923555,0.105495108181574,0.0929270808825501,0.7130462194153839,0.8094829552513543,-0.1284021221145235,0.5617825684757627,3,0.6666666666666666,0.09605957331615193,0.27744067620485535,-0.06295287017011408,249.33333333333334,30,150
SPY,MA_20_200,train,0.24773355423248034,0.06558599736463933,0.09949030777588003,0.09518719386062408,0.6883235273612262,0.7194404710240796,-0.1801057652280269,0.3641526815180109,4,0.25,0.08036615296301788,0.4614746550224116,-0.07063397326358933,165.75,20,200
SPY,MA_20_100,train,0.25863830539817023,0.06825064607332498,0.11303454870004513,0.10131657482819044,0.6407357201615479,0.714841308909974,-0.19489748720651023,0.35018740904036233,5,0.6,0.04026889180545774,0.27277916573323124,-0.11928444027446217,161.6,20,100
SPY,MA_30_100,train,0.2620492251169757,0.06908074646248807,0.1149526420231809,0.10293727655365319,0.6387253712955998,0.7132806638749238,-0.22052001407332522,0.3132629333114318,4,0.5,0.06437310471239285,0.27325474244723424,-0.1330113250924002,204.25,30,100
SPY,MA_10_50,train,0.2485794153095653,0.0657932818451219,0.11005750742660304,0.09495986661533228,0.6339412556899618,0.7347313864577706,-0.13126616324738727,0.5012204228223411,11,0.5454545454545454,0.015070605613862047,0.12162109254954334,-0.08731976253460161,72.18181818181819,10,50
SPY,MA_10_200,train,0.2163681758608167,0.05782791999325032,0.09787954279225078,0.09206288929133082,0.6233470598117796,0.6627309406094876,-0.1656229315481067,0.34915406612310607,4,0.5,0.06636100712010146,0.325213341989008,-0.0906967895427997,167.0,10,200
SPY,MA_20_150,train,0.18005819338930085,0.048666584147824876,0.10400280156425049,0.09536536261997498,0.5089654685580188,0.5550635280487889,-0.188029964838895,0.25882355607268576,6,0.5,0.03296213552229008,0.27744067620485535,-0.06500447867009451,121.83333333333333,20,150
SPY,MA_10_100,train,0.1850512943202216,0.049938201280253836,0.10729755791086683,0.0948434081144752,0.5078652763341758,0.5745544680618434,-0.22239694744475325,0.22454535394492875,8,0.375,0.027478348461340715,0.28606579341920346,-0.05288211138816057,98.75,10,100
SPY,MA_15_150,train,0.1603447076102853,0.04360825624472886,0.10662292809085218,0.09555600604253486,0.4536661528042572,0.5062079882887779,-0.19908951770919203,0.21903843430083036,6,0.3333333333333333,0.034784176126733755,0.28446811626826674,-0.07082965161849397,124.0,15,150
SPY,MA_10_150,train,0.09944810606690524,0.027585117193522413,0.10695483222619717,0.09671732150594232,0.30792483453788555,0.3405186217264671,-0.2669429202230508,0.1033371372819065,7,0.42857142857142855,0.024767941513687712,0.2903649549815792,-0.0737605420963574,106.85714285714286,10,150
SPY,MA_15_100,train,0.09713994150063354,0.026965474739769846,0.11052303292961131,0.1015181110573861,0.296099063218449,0.32236382428373295,-0.2715981023398246,0.09928447403520713,7,0.42857142857142855,0.020977866092934665,0.27252737824146833,-0.09727233750630271,114.28571428571429,15,100
SPY,MA_30_50,train,0.012919402408950509,0.0036911212409418415,0.11832144422039124,0.1148609441719116,0.09044001895142276,0.09316477184477773,-0.32407828741793865,0.01138959746532383,10,0.6,0.0030353425118101796,0.14467495192763447,-0.11071743531027589,77.3,30,50
SPY,MA_15_50,train,0.00021487228984407025,6.166704990073768e-05,0.1136329033518851,0.10559236284402268,0.05734302711260935,0.061709525976011655,-0.2486903212234136,0.0002479672292728209,10,0.6,0.012043500374972305,0.12920822647639274,-0.06734258398637716,77.5,15,50
SPY,MA_20_50,train,-0.018994885235629644,-0.005489157815662948,0.1125936858580876,0.1080142372874041,0.007536194798805837,0.007855704683488495,-0.2959650715207396,-0.018546640613564088,10,0.5,0.005384727131955524,0.13336267825756454,-0.08848504513907718,77.7,20,50
