Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20
2021-03-30,304.99238280868605,305.9834588710033,302.70899076791363,305.4101867675781,44635700,305.4101867675781,-0.005033351533876296,,,,,,,,,305.4101867675781,305.4101867675781,,
2021-03-31,307.1980797488735,311.64824126196385,306.85799497643245,310.0838928222656,55032500,310.0838928222656,0.015303045730574283,,,,,,,,,306.1292184682993,305.7563872160735,,
2021-04-01,313.91226995308546,315.5057671194395,313.6596304202074,315.3697509765625,55685600,315.3697509765625,0.017046542166982537,,,,,,,,,307.55083885418594,306.46848823536897,,
2021-04-05,317.857118740122,322.43359992758764,317.6142052852297,321.6659851074219,42172500,321.6659851074219,0.019964610148445416,,,,,,,,,309.72239981622226,307.5942287444099,,
2021-04-06,321.35509011175077,323.39553948505943,320.6651945249432,321.4425354003906,33537200,321.4425354003906,-0.0006946637735308903,,,,,,,,,311.525497598402,308.6200292374456,,
2021-04-07,320.9663764505816,323.0554557758428,320.0335971350939,322.2198181152344,32046400,322.2198181152344,0.002418107839634809,,,,,,,,,313.1707776779147,309.62742100617066,,
2021-04-08,325.0765377386788,325.7664037290096,324.27977439631087,325.581787109375,29940800,325.581787109375,0.010433774724986966,,,,,,,,,315.08016374429326,310.8092259027043,,
2021-04-09,324.2214639989232,327.7582984037376,323.48302720373306,327.5542297363281,36664900,327.5542297363281,0.006058209350299215,,,,,,,,,316.99925081999095,312.04959655704687,,
2021-04-12,326.51453186474566,327.54448245938073,325.241667834536,327.1266784667969,25833000,327.1266784667969,-0.0013052839216132206,,,,,,,,,318.5573166118072,313.16641743925055,,
2021-04-13,328.6521030398795,331.4115956960452,328.43833806251735,330.9452209472656,30374000,330.9452209472656,0.01167297787623367,320.74000854492186,,,,,,,,320.46314804803154,314.4833658472517,,
2021-04-14,331.1881030233927,331.31442272341167,326.154944985408,326.97113037109375,42564300,326.97113037109375,-0.012008303261780928,322.89610290527344,,,,,,,,321.46437609773346,315.4083854416104,,
2021-04-15,329.84728173217786,332.3152904254535,326.6894072166839,331.9266052246094,36342800,331.9266052246094,0.01515569539087891,325.0803741455078,,,,,,,,323.07394980956053,316.6319572773881,,
2021-04-16,332.45135425257433,332.5291031649123,330.4400236942652,332.3153381347656,40860100,332.3153381347656,0.0011711411620445311,326.7749328613281,,,,,,,,324.4957018595921,317.7936891927494,,
2021-04-19,330.741254593355,331.8974953468456,327.35016263300474,329.2740478515625,34533100,329.2740478515625,-0.009151820377215847,327.5357391357422,,,,,,,,325.23083201220294,318.6440861304393,,
2021-04-20,328.6133532160057,329.89591379832757,324.9016282875252,326.87408447265625,38081800,326.87408447265625,-0.007288650273428621,328.0788940429687,323.6507527669271,,,,,,,325.4836400830419,319.25371563727015,75.80006999076328,
2021-04-21,325.5914363777287,329.8570103749385,324.5031889727736,329.6723937988281,36598100,329.6723937988281,0.008560817327217585,328.82415161132815,325.2682332356771,,,,,,,326.1280637316244,320.02546957516336,74.65749425315616,
2021-04-22,329.28379999053425,330.26515025266417,324.5421242776872,325.6983947753906,45936100,325.6983947753906,-0.012054388229614688,328.8358123779297,326.3092000325521,,,,,,,326.06196081528077,320.44568625666165,63.445487316432505,
2021-04-23,326.329834897385,331.11035352650896,326.329834897385,329.79864501953125,36381900,329.79864501953125,0.012589101788383905,329.06025390625,327.27112630208336,,,,,,,326.6368353082423,321.1384980168742,61.22881516619629,
2021-04-26,330.0416423916849,332.22786332972856,329.29345002638655,331.9460754394531,30812000,331.9460754394531,0.006511337909816728,329.5421936035156,327.9564656575521,,,,,,,327.45364148227475,321.9390593074356,63.77068122821449,
2021-04-27,332.2375686589961,332.4513336759121,329.55582439975575,330.5080261230469,33187200,330.5080261230469,-0.004332177491487066,329.49847412109375,328.5608317057292,325.11924133300784,,,,,,327.9235468116243,322.57379759007347,60.681204654001775,
2021-04-28,330.1776315837626,331.1881597043485,328.739573475718,329.3905944824219,33615700,329.3905944824219,-0.0033809516026971353,329.74042053222655,329.03888346354165,326.31826171875,,,,,,328.14924645328546,323.07874550802524,55.20989958982691,0.15795469177340785
2021-04-29,332.66509949857345,333.08290350684666,327.350152142513,330.5760498046875,37708900,330.5760498046875,0.0035989349487297595,329.60536499023436,329.37183430989586,327.3428695678711,,,,,,328.5226008150396,323.6341013818521,54.224363672665255,0.15203546466727166
2021-04-30,328.12745199421886,330.6148829851831,327.49585339483946,328.4092102050781,38263400,328.4092102050781,-0.006554738617300271,329.2147521972656,329.4288330078125,327.9948425292969,,,,,,328.50515610581476,323.9878131465355,51.709775165338755,0.14661088102455386
2021-05-03,329.61414483224644,330.36230761871025,326.21335637146564,326.6603088378906,29729700,326.6603088378906,-0.0053253724708127725,328.95337829589846,329.3977416992187,328.2445587158203,,,,,,328.22133344921104,324.18577579033956,43.954049952892504,0.13246766426592307
2021-05-04,324.1049003697764,324.4255627897518,316.96323766042013,320.7818603515625,65147000,320.7818603515625,-0.01799560071206996,328.3441558837891,328.7201843261719,328.2115249633789,,,,,,327.07679912649587,323.9336339059857,41.71240691219834,0.14834683360495174
2021-05-05,322.83191184470286,323.69669779060166,318.9258750083495,319.70318603515625,46219300,319.70318603515625,-0.0033626412516719606,327.34723510742185,328.23565470377605,328.085693359375,,,,,,325.9423971124436,323.6202673970354,31.736341823971927,0.1484844489727099
2021-05-06,319.4409279969062,322.2684442479287,317.1964099841654,322.11297607421875,46814300,322.11297607421875,0.007537585311387929,326.9886932373047,327.58141276041664,327.91225280761716,,,,,,325.35325541425516,323.50861618793783,35.62433402392742,0.14603021185359957
2021-05-07,324.89178803084013,327.1071569064304,322.28776367142063,324.72662353515625,53324500,324.72662353515625,0.008114070699018594,326.4814910888672,327.07549845377605,327.77087249755857,,,,,,325.2568505097784,323.59883895439845,43.514277208175116,0.1474295230847374
2021-05-10,323.34693869607077,323.5218292571474,316.32187130096383,316.52593994140625,60700500,316.52593994140625,-0.025254115306200475,324.9394775390625,326.225624593099,327.24083557128904,,,,,,323.9136334992596,323.0749205089916,37.336424585011414,0.171878078028861
2021-05-11,310.6377506820967,316.88547788084816,309.97700352184944,316.0887145996094,71963600,316.0887145996094,-0.0013813254669674535,323.49754638671874,325.50659993489586,326.4980102539063,324.57867635091145,,,,,322.7097998223903,322.5574237749633,32.35740377846692,0.1646104881052731
2021-05-12,311.1526066845544,313.4748430981907,307.04250176138873,307.90728759765625,91164900,307.90728759765625,-0.025883325231388143,321.3492156982422,324.0555928548177,325.54481811523436,324.6619130452474,,,,,320.4324902493543,321.4722285025702,29.16939713420608,0.18197974299024713
2021-05-13,310.851509181572,313.2611917243802,307.9170956105406,310.2879333496094,69877800,310.2879333496094,0.007731696675734145,319.3204040527344,323.0282287597656,324.4628845214844,324.66871439615886,,,,,318.87178918785514,320.64376219494346,26.197537574879846,0.17392009786892704
2021-05-14,313.45548574247056,318.0513887100256,312.9502068469976,317.1380615234375,44370000,317.1380615234375,0.02207668245387384,318.1932891845703,322.18418986002604,323.70402069091796,324.7276580810547,,,,,318.6050618548678,320.3840806637208,33.794185091942126,0.1955468076245817
2021-05-17,315.42793735794857,317.11860526417,312.3380857870897,315.21417236328125,39395000,315.21417236328125,-0.006066408903789289,317.0486755371094,321.0687296549479,323.0010269165039,324.51259765625,,,,,318.08338654846983,320.0011244933179,33.43859860158902,0.19440840614867683
2021-05-18,316.1664594524912,317.39072313577907,312.8142418199266,313.0863037109375,36528500,313.0863037109375,-0.006750548797950007,316.27911987304685,319.90728149414065,322.31163787841797,324.2340565999349,,,,,317.31460457346486,319.48891554647486,32.72251122654036,0.1942275174866398
2021-05-19,307.68390077198774,313.7470110918508,307.3340899790996,313.44580078125,66319100,313.44580078125,0.0011482363362800285,315.65338134765625,318.84429524739585,321.50030822753905,323.94158935546875,,,,,316.7194039900472,319.04127741571745,31.523822815342243,0.19058896875259349
2021-05-20,314.9323998836372,320.3639406356853,314.70893850500914,319.5088806152344,46466100,319.5088806152344,0.019343311726851775,315.3929718017578,318.106483968099,321.1908325195312,323.7391591389974,,,,,317.148554240076,319.07591468975573,41.144639040031095,0.20186055354774438
2021-05-21,321.06357916019977,321.48138320510816,317.3810323655102,317.74053955078125,50330400,317.74053955078125,-0.0055345599817071545,314.6943634033203,317.3952392578125,320.5879272460937,323.4120361328125,,,,,317.2396289032614,318.97699801279464,41.12872923112598,0.19598513512917182
2021-05-24,320.03358774833356,324.2117166237893,317.63360182331587,323.0845947265625,32475800,323.0845947265625,0.016818927743172507,315.35022888183596,317.1568583170573,320.14485321044924,323.277300008138,,,,,318.1388544145385,319.28126443603674,52.31481992777232,0.20498317357591875
2021-05-25,324.60050272090115,325.3195172891667,322.355984050071,323.53167724609375,31280300,323.53167724609375,0.0013837939871743643,316.0945251464844,317.3401794433594,319.79603576660156,323.0301818847656,,,,,318.968519465547,319.5961098293743,53.89808283876581,0.20485573187254671
2021-05-26,324.2020738799794,325.1251273790155,323.512207849748,324.65875244140625,25444900,324.65875244140625,0.0034836625733412063,317.76967163085936,317.67055053710936,319.55944366455077,322.95310262044273,,,,,319.84393992337147,319.97112039322855,52.66157366579926,0.20524050496754592
2021-05-27,324.21167594063655,325.0570098443517,323.2400223221107,323.4440612792969,27931700,323.4440612792969,-0.003741439751662301,319.0852844238281,317.75928955078126,319.2028442382813,322.67035115559895,,,,,320.39780474736,320.22837527367807,48.61869337405351,0.2048816541695808
2021-05-28,324.64894153321643,326.05785131144694,324.1436922653949,324.4643249511719,29927400,324.4643249511719,0.0031543744159023834,319.8179107666016,317.74180297851564,319.00559997558594,322.4086507161458,,,,,321.0234232402541,320.5421493238628,60.113811237887724,0.2042948359493799
2021-06-01,325.79545476304094,326.27158521200613,322.0351599075775,323.3857727050781,31145400,323.3857727050781,-0.0033241011820207556,320.63507080078125,318.1991251627604,318.8418731689453,322.2123748779297,,,,,321.3868616194578,320.75278809284174,59.14725586149698,0.20379405724381516
2021-06-02,323.8036604941181,324.8627596813174,322.2976088179456,324.0174255371094,22047900,324.0174255371094,0.001953248674941843,321.7281829833984,318.7277058919271,319.00365142822267,322.1171529134115,,,,,321.791563760635,320.99461308871344,74.90989634895004,0.19299868093336947
2021-06-03,321.18014967870533,322.4530137763782,318.9745062416927,320.645751953125,37057800,320.645751953125,-0.01040584029823488,322.44817810058595,319.5769368489583,319.05077972412107,321.81626485188804,,,,,321.61528502101805,320.96877152311424,65.53928395814619,0.1964909940136089
2021-06-04,322.44333421607035,326.53398859856,322.37531133035253,326.0870361328125,38736500,326.0870361328125,0.01696976849542975,323.1059936523437,320.6302103678385,319.2494827270508,321.8292195638021,,,,,322.3032467305249,321.3479022349438,64.01825375123575,0.2038639298500397
2021-06-07,325.5525736967801,327.11695163734953,324.8627078441473,327.05865478515625,32611900,327.05865478515625,0.002979629806405537,324.0378051757813,321.2915832519531,319.36608428955077,321.7378865559896,,,,,323.03484796969894,321.7709209423669,69.12452523755368,0.2021924157343551
2021-06-08,328.80760798571464,329.67239401675255,325.5331397428313,327.214111328125,27282800,327.214111328125,0.0004753170133071638,324.4507568359375,322.0915791829427,319.9004928588867,321.5801544189453,,,,,323.67781156330295,322.17412023020086,74.36305766004341,0.17801674162967324
2021-06-09,328.58418630693745,329.3614975041773,327.10725351865176,327.2918701171875,21485300,327.2918701171875,0.0002376388620493053,324.8267761230469,323.0386169433594,320.4606506347656,321.47294921875,322.9314660644531,,,,324.2338205715929,322.55321281442207,74.11149870224286,0.1777350043687571
2021-06-10,327.6319326307272,330.80922974058655,327.18498020530035,330.7023620605469,33702100,330.7023620605469,0.010420338098035442,325.43113708496094,324.1890543619792,321.6004043579102,321.5166748046875,323.4373095703125,,,,325.2289808006628,323.15685349932016,71.47636702602308,0.14674623236336823
2021-06-11,330.7119872527863,331.5767731434215,330.06099598125263,331.5670471191406,21222800,331.5670471191406,0.002614692720082301,326.2434356689453,324.99293212890626,322.6643600463867,321.5497080485026,323.86697265625,,,,326.20406792658247,323.77983080449206,77.48115726481004,0.14596559676144327
2021-06-14,331.99461879216443,334.75411165619005,330.8092001288667,334.7444152832031,27827700,334.7444152832031,0.00958288283371167,327.2714447021484,326.12652384440105,323.544677734375,321.76088155110676,324.2544659423828,,,,327.5179675199087,324.5920222473595,75.35884246507152,0.13065367148609258
2021-06-15,334.3946377380395,334.7055740598569,331.8391835882948,332.5582275390625,35963800,332.5582275390625,-0.006530916258277397,328.1886901855469,326.7580993652344,324.41188049316406,321.9574788411458,324.4723107910156,,,,328.2933921382401,325.1821115282264,68.25111808784764,0.13107850711792773
2021-06-16,333.0246004757765,334.09342554312184,327.8845734311439,331.3436584472656,55399500,331.3436584472656,-0.0036521997990689448,328.9213134765625,327.2788981119792,325.32474822998046,322.3095387776693,324.67033325195314,,,,328.76266387809017,325.6385224111182,63.46880576109319,0.12854831114998688
2021-06-17,330.33312741394195,336.5614315255886,330.2845565873261,335.5509033203125,59722700,335.5509033203125,0.012697526467724707,330.4118286132813,328.0050415039062,326.4300033569336,322.8377960205078,324.9369549560547,,,,329.8070084076628,326.3727728488363,71.76799939423137,0.1329594275411522
2021-06-18,333.8893783462485,335.0359226391547,332.1695322543703,332.917724609375,55414900,332.917724609375,-0.007847330121546148,331.0948974609375,328.63661905924477,327.10044555664064,323.197954305013,325.0836737060547,,,,330.28558013100314,326.85758409035765,64.36591566563737,0.12461052649592035
2021-06-21,333.10929570141144,335.30778963420914,330.89135684145083,334.98675537109375,32992600,334.98675537109375,0.006214841111708447,331.88770751953126,329.33811442057294,327.96275634765624,323.5399586995443,325.23232421875,,,,331.0088378602478,327.4597449259677,69.07290875392731,0.12203223393419496
2021-06-22,334.7824823580813,338.55687634113093,334.4809227066749,338.1094055175781,28941600,338.1094055175781,0.00932171226598233,332.97723693847655,330.31968994140624,328.71399688720703,324.25940755208336,325.4519787597656,,,,332.10123288445243,328.2486086734944,71.41430124321536,0.11308000027500946
2021-06-23,338.0510291953834,339.4226535392888,337.4381726069458,338.2747497558594,27188500,338.2747497558594,0.0004890258466134778,334.0755249023438,331.2701782226562,329.45115051269534,324.9989420572917,325.5985693359375,,,,333.0510047108228,328.9912857907066,79.68157664059554,0.11322060542558132
2021-06-24,340.21062348972123,341.89351519306285,339.66586864290497,340.36627197265625,32581600,340.36627197265625,0.006182909656444524,335.0419158935547,332.5848795572917,330.2365264892578,326.080908203125,325.86647216796877,,,,334.1764304434126,329.8338773597399,77.09829939931105,0.11401187439075398
2021-06-25,340.9305468413678,341.1737420832244,339.3449091145559,339.9480285644531,28682800,339.9480285644531,-0.0012288039169660037,335.88001403808596,333.508945719401,331.0617248535156,327.0695780436198,326.02690063476564,,,,335.06436861588037,330.58307374527425,74.98547696486905,0.11255938677957382
2021-06-28,341.23203487970994,344.218478947172,341.1736704088792,344.082275390625,39130300,344.082275390625,0.012161408447138644,336.8138000488281,334.64385375976565,332.0426223754883,327.96771850585935,326.2622393798828,,,,336.451738888918,331.5830146078928,78.32840979677856,0.11766272434063983
2021-06-29,343.90717153708596,345.3566053302325,343.07059435596864,345.3274230957031,29426000,345.3274230957031,0.003618749915741848,338.09071960449216,335.8514078776042,333.1397048950195,328.97149353027345,326.58330688476565,,,,337.8172287668849,332.60111894032315,79.14609716138361,0.1152975098227237
2021-06-30,345.1717907003328,345.5609267614072,344.1990099214737,344.7826843261719,32724000,344.7826843261719,-0.0015774558668057992,339.4346221923828,337.0174621582031,334.17796783447267,330.0280395507813,326.94147888183596,,,,338.88883731446754,333.5034571170527,75.07701639465441,0.11652429002732764
